y,x,char,value
2,64,-,0.0
2,65,-,0.0
2,66,-,0.0
2,67,-,0.0
2,68,-,0.0
2,69,-,0.0
2,70,-,0.0
2,71,-,0.0
2,72,-,0.0
2,73,-,0.0
2,74,-,0.0
2,75,-,0.0
2,76,-,0.0
2,77,-,0.0
2,78,-,0.0
2,79,-,0.0
2,80,-,0.0
2,81,-,0.0
2,82,-,0.0
2,83,-,0.0
2,84,-,0.0
2,85,-,0.0
2,86,-,0.0
2,87,-,0.0
2,88,-,0.0
2,89,-,0.0
2,90,-,0.0
2,91,-,0.0
2,92,-,0.0
2,93,-,0.0
2,94,-,0.0
2,95,-,0.0
2,96,-,0.0
2,97,-,0.0
2,98,-,0.0
2,99,-,0.0
3,0,-,0.052280243486166
3,1,-,0.05495711788535118
3,2,-,0.00857924111187458
3,3,-,0.00674272608011961
3,4,-,0.007840941660106182
3,5,-,0.0069877393543720245
3,6,-,0.0053872535936534405
3,7,-,0.006040582899004221
3,8,-,0.0057747941464185715
3,9,-,0.006776966620236635
3,10,-,0.009172553196549416
3,11,-,0.015569647774100304
3,12,-,0.029132798314094543
3,13,-,0.036234986037015915
3,14,-,0.021913714706897736
3,15,-,0.01968366652727127
3,16,-,0.02411583811044693
3,17,-,0.018089978024363518
3,18,-,0.011209653690457344
3,19,-,0.008442898280918598
3,20,-,0.014730297029018402
3,21,-,0.019783785566687584
3,22,-,0.027033276855945587
3,23,-,0.03381192311644554
3,24,-,0.0561833493411541
3,25,-,0.02826535329222679
3,26,-,0.011458899825811386
3,27,-,0.010859305039048195
3,28,-,0.016550250351428986
3,29,T,0.5451136827468872
3,30,T,0.3197699785232544
3,31,T,1.223758339881897
3,32,T,1.4567582607269287
3,33,T,0.15752537548542023
3,34,T,0.524956226348877
3,35,T,2.4744644165039062
3,36,T,1.6763044595718384
3,37,T,0.38896751403808594
3,38,T,0.2557353675365448
3,39,T,0.5745014548301697
3,40,T,1.043115258216858
3,41,T,0.11427157372236252
3,42,T,0.7436702251434326
3,43,T,0.0
3,44,-,0.0
3,45,-,0.0
3,46,-,0.0
3,47,-,0.0
3,48,-,0.0
3,49,-,0.0
3,50,-,0.0
3,51,-,0.0
3,52,-,0.0
3,53,-,0.0
3,54,-,0.0
3,55,-,0.0
3,56,-,0.0
3,57,-,0.0
3,58,-,0.0
3,59,-,0.0
3,60,-,0.0
3,61,-,0.0
3,62,-,0.0
3,63,-,0.0
3,64,-,0.0
3,65,-,0.0
3,66,-,0.0
3,67,-,0.0
3,68,-,0.0
3,69,-,0.0
3,70,-,0.0
3,71,-,0.0
3,72,-,0.0
3,73,-,0.0
3,74,-,0.0
3,75,-,0.0
3,76,-,0.0
3,77,-,0.0
3,78,-,0.0
3,79,-,0.0
3,80,-,0.0
3,81,-,0.0
3,82,-,0.0
3,83,-,0.0
3,84,-,0.0
3,85,-,0.0
3,86,-,0.0
3,87,-,0.0
3,88,-,0.0
3,89,-,0.0
3,90,-,0.0
3,91,-,0.0
3,92,-,0.0
3,93,-,0.0
3,94,-,0.0
3,95,-,0.0
3,96,-,0.0
3,97,-,0.0
3,98,-,0.0
3,99,-,0.0
4,0,-,0.3448806703090668
4,1,-,0.11536458134651184
4,2,-,0.04808634892106056
