y,x,char,value
9,27,-,0.006320462562143803
9,28,-,0.007090466562658548
9,29,-,0.007966497913002968
9,30,-,0.009214299730956554
9,31,-,0.008671903982758522
9,32,-,0.010691505856812
9,33,-,0.012668177485466003
9,34,-,0.012034459039568901
9,35,-,0.013183503411710262
9,36,-,0.020005295053124428
9,37,-,0.025577202439308167
9,38,-,0.02643916755914688
9,39,-,0.028808221220970154
9,40,-,0.029059583321213722
9,41,-,0.035931479185819626
9,42,-,0.045751024037599564
9,43,-,0.5094865560531616
9,44,<,3.0932412147521973
9,45,>,0.0
9,46,-,0.0
9,47,-,0.0
9,48,-,0.0
9,49,-,0.0
9,50,-,0.0
9,51,-,0.0
9,52,-,0.0
9,53,-,0.0
9,54,-,0.0
9,55,-,0.0
9,56,-,0.0
9,57,-,0.0
9,58,-,0.0
9,59,-,0.0
9,60,-,0.0
9,61,-,0.0
9,62,-,0.0
9,63,-,0.0
9,64,-,0.0
9,65,-,0.0
9,66,-,0.0
9,67,-,0.0
9,68,-,0.0
9,69,-,0.0
9,70,-,0.0
9,71,-,0.0
9,72,-,0.0
9,73,-,0.0
9,74,-,0.0
9,75,-,0.0
9,76,-,0.0
9,77,-,0.0
9,78,-,0.0
9,79,-,0.0
9,80,-,0.0
9,81,-,0.0
9,82,-,0.0
9,83,-,0.0
9,84,-,0.0
9,85,-,0.0
9,86,-,0.0
9,87,-,0.0
9,88,-,0.0
9,89,-,0.0
9,90,-,0.0
9,91,-,0.0
9,92,-,0.0
9,93,-,0.0
9,94,-,0.0
9,95,-,0.0
9,96,-,0.0
9,97,-,0.0
9,98,-,0.0
9,99,-,0.0
10,0,-,0.015573660843074322
10,1,-,0.005454425700008869
10,2,-,0.006610232871025801
10,3,-,0.007273612543940544
10,4,-,0.006418492645025253
10,5,-,0.004756104666739702
10,6,-,0.004581796005368233
10,7,-,0.005023359786719084
10,8,-,0.005550031084567308
10,9,-,0.006594959646463394
10,10,-,0.007620241492986679
10,11,-,0.013267233036458492
10,12,-,0.02152504026889801
10,13,-,0.019111119210720062
10,14,-,0.007327818777412176
10,15,-,0.005870192777365446
10,16,-,0.007417986635118723
10,17,-,0.1566006988286972
10,18,-,0.008774246089160442
10,19,-,0.004630646202713251
10,20,-,0.019600456580519676
10,21,-,0.027174387127161026
10,22,-,0.030826307833194733
10,23,-,0.015477382577955723
10,24,-,0.009553317911922932
10,25,-,0.006321782246232033
10,26,-,0.014602553099393845
10,27,-,0.006870201788842678
10,28,-,0.0059133898466825485
10,29,-,0.017612338066101074
10,30,-,0.03818073868751526
10,31,-,0.01801447756588459
10,32,-,0.011001801118254662
10,33,-,0.01338671799749136
10,34,-,0.014925843104720116
10,35,-,0.013685697689652443
10,36,-,0.014112021774053574
10,37,-,0.01693638227880001
10,38,-,0.019984060898423195
10,39,-,0.020620545372366905
10,40,-,0.018445996567606926
10,41,-,0.029099637642502785
10,42,-,0.0921611338853836
10,43,-,0.12034846842288971
10,44,[,0.8403841853141785
